glutamate_concentration,competition_strength,communication_strength,biofilm_1_initial_phase,biofilm_3_initial_phase,mean_output_phase1,mean_output_phase2,mean_output_phase3,phase_dif_1_2,phase_dif_2_3,phase_dif_1_3
0.5,1.0,0.2,0,0,3.182012415019991,2.8432284907214003,3.2730286278138756,2.562742839319739,1.9926824484309733,2.5807288326608058
0.5,1.0,0.2,0,3.141592653589793,2.6553363165585973,3.4543883031989857,2.955665050647878,2.2184599609523317,2.560362858888729,2.5965236408126104
0.5,1.0,0.2,3.141592653589793,0,2.9560240964558098,3.4549354593507964,2.6556969068245246,2.5603637591978528,2.2185623583836374,2.5964526724717087
0.5,1.0,0.2,3.141592653589793,3.141592653589793,3.0926759098101586,3.2652029294519487,3.0926759098101586,2.7522345365939933,2.7522345365939933,0.0
0.5,25.75,0.2,0,0,3.028750328756648,2.9379821836964717,3.2978486777331035,1.1397999401678383,2.5549095843045135,2.753264790331047
0.5,25.75,0.2,0,3.141592653589793,3.0961021732922624,3.133555373259612,3.179191294786822,1.7813073508455814,2.6096190047818792,2.574927791558129
0.5,25.75,0.2,3.141592653589793,0,3.180203648403515,3.1376281425894215,3.0952100069803796,2.609078600651091,1.7836903368273667,2.5746528991876305
0.5,25.75,0.2,3.141592653589793,3.141592653589793,2.9734621895318902,3.112475693579776,2.9734621895318902,2.746567448741177,2.746567448741177,0.0
0.5,50.5,0.2,0,0,3.2633489953950248,3.2633489922938295,3.2633489911181486,3.101195034105331e-09,1.17568106361432e-09,4.276876097719651e-09
0.5,50.5,0.2,0,3.141592653589793,3.632830360672603,2.798952988151816,3.353865936760365,1.4109893240804054,2.7182807538961553,2.6934901850115596
0.5,50.5,0.2,3.141592653589793,0,3.353809405740338,2.7976829098485974,3.633714394396481,2.7186104950922156,1.4101512114624526,2.693751295935671
0.5,50.5,0.2,3.141592653589793,3.141592653589793,3.2314348847275305,2.716300901813704,3.231434884638491,2.7169133225905937,2.7169133225724496,8.903953130356968e-11
0.5,75.25,0.2,0,0,2.626185796294268,2.626185796294268,2.626185796294268,0.0,0.0,0.0
0.5,75.25,0.2,0,3.141592653589793,3.3677996128772767,3.5693960837409144,2.9587108962105395,0.20159647086363747,2.715361774837551,2.665376059811378
0.5,75.25,0.2,3.141592653589793,0,2.958589401888492,3.570887123820446,3.366443202146731,2.7158130089720443,0.2044439216737146,2.665110852562124
0.5,75.25,0.2,3.141592653589793,3.141592653589793,2.8517914523358407,3.5961911953478896,2.8517914523494605,2.747978544072852,2.7479785440693276,1.36196831590496e-11
0.5,100.0,0.2,0,0,2.9702799486413745,2.9702799486413745,2.9702799486413745,0.0,0.0,0.0
0.5,100.0,0.2,0,3.141592653589793,2.759195663512171,2.8858815525631805,3.5513001614974775,0.12668588905100933,2.7281286006271417,2.7607541277764853
0.5,100.0,0.2,3.141592653589793,0,3.550978136689958,2.8868531154065047,2.7581149365271562,2.727806116316432,0.1287381788793482,2.7609550086624126
0.5,100.0,0.2,3.141592653589793,3.141592653589793,3.4532130687690037,2.9410282148003697,3.4532130687690037,2.6898893170338254,2.6898893170338254,0.0
0.5,1.0,0.45,0,0,2.8164655546802186,3.611033251999813,2.918341316834715,2.2052252506252032,2.523853940553758,2.5945791200262547
